index,Instructor Name,Fitness Discipline,Type,Length (minutes),Title
772,Camila Ramon,Cycling,Music,30,30 min Todo Ritmo Ride
773,Callie Gullickson,Strength,Core,10,10 min Core Strength
774,Daniel McKenna,Strength,Upper Body,20,20 min Chest & Back Strength
775,Denis Morton,Cycling,Music,30,30 min EMINEM Ride
776,Andy Speer,Strength,Core,5,5 min Core Strength
777,Selena Samuela,Strength,Lower Body,20,20 min Glutes & Legs Strength
778,Chase Tucker,Strength,Core,10,10 min Core Strength
779,Selena Samuela,Cardio,Shadowboxing,20,20 min Shadowboxing
780,Rad Lopez,Strength,Core,10,10 min Core Strength
781,Ben Alldis,Strength,Upper Body,10,10 min Arms & Shoulders Strength
782,Rad Lopez,Strength,Core,10,10 min Core Strength
783,Adrian Williams,Strength,Upper Body,10,10 min Arms & Shoulders Strength
784,Kendall Toole,Cycling,Music,30,30 min Hip Hop Ride
785,Rad Lopez,Strength,Upper Body,30,30 min Chest & Back Strength
786,Rad Lopez,Strength,Core,10,10 min Core Strength
787,Kendall Toole,Cycling,Intervals,30,30 min HIIT Ride
788,Callie Gullickson,Strength,Core,5,5 min Core Strength
789,Adrian Williams,Strength,Upper Body,20,20 min Swizz Beatz Arms & Shoulders
790,Hannah Corbin,Cycling,Intervals,30,30 min Intervals & Arms Ride
791,Rad Lopez,Strength,Core,10,10 min Core Strength
792,Matty Maggiacomo,Strength,Upper Body,20,20 min Chest & Back Strength
793,Jess King,Cycling,Music,30,30 min New Tracks Ride
794,Robin Arzon,Strength,Core,5,5 min Core Strength
795,Rad Lopez,Strength,Lower Body,10,10 min Glutes & Legs Strength
796,Callie Gullickson,Strength,Core,5,5 min Core Strength
797,Rad Lopez,Strength,Upper Body,20,20 min Arms & Shoulders Strength
798,Selena Samuela,Strength,Core,5,5 min Core Strength
799,Olivia Amato,Cycling,Intervals,30,30 min Intervals & Arms Ride
800,Ben Alldis,Strength,Core,10,10 min Core Strength
801,Kendall Toole,Cycling,Music,30,30 min Hip Hop Ride
802,Daniel McKenna,Strength,Core,20,20 min Core Strength
